"X1","prod","toy","tod"
"8832",0.019,0,0
"8833",0.032,5.70808836120783e-05,1
"8834",0.02,0.000114161767224157,2
"8835",0.038,0.000171242650836235,3
"8836",0.036,0.000228323534448313,4
"8837",0.012,0.000285404418060392,5
"8838",0.024,0.00034248530167247,6
"8839",0.018,0.000399566185284548,7
"8840",0.042,0.000456647068896627,8
"8841",0.031,0.000513727952508705,9
"8842",0,0.000570808836120783,10
"8843",0.007,0.000627889719732861,11
"8844",0.064,0.00068497060334494,12
"8845",2.092,0.000742051486957018,13
"8846",10.14,0.000799132370569096,14
"8847",24.414,0.000856213254181175,15
"8848",43.833,0.000913294137793253,16
"8849",67.073,0.000970375021405331,17
"8850",90.923,0.00102745590501741,18
"8851",114.669,0.00108453678862949,19
"8852",135.712,0.00114161767224157,20
"8853",153.796,0.00119869855585364,21
"8854",168.558,0.00125577943946572,22
"8855",180.417,0.0013128603230778,23
"8856",188.338,0.00136994120668988,24
"8857",194.425,0.00142702209030196,25
"8858",197.193,0.00148410297391404,26
"8859",198.02,0.00154118385752611,27
"8860",195.335,0.00159826474113819,28
"8861",189.823,0.00165534562475027,29
"8862",181.178,0.00171242650836235,30
"8863",169.401,0.00176950739197443,31
"8864",154.277,0.00182658827558651,32
"8865",136.041,0.00188366915919858,33
"8866",113.532,0.00194075004281066,34
"8867",88.453,0.00199783092642274,35
"8868",62.444,0.00205491181003482,36
"8869",35.769,0.0021119926936469,37
"8870",14.673,0.00216907357725898,38
"8871",5.62,0.00222615446087105,39
"8872",1.072,0.00228323534448313,40
"8873",0.024,0.00234031622809521,41
"8874",0.014,0.00239739711170729,42
"8875",0.037,0.00245447799531937,43
"8876",0.031,0.00251155887893145,44
"8877",0.025,0.00256863976254352,45
"8878",0.013,0.0026257206461556,46
"8879",0.049,0.00268280152976768,47
"8880",0.025,0.00273988241337976,0
"8881",0,0.00279696329699184,1
"8882",0.006,0.00285404418060392,2
"8883",0.036,0.00291112506421599,3
"8884",0.03,0.00296820594782807,4
"8885",0.033,0.00302528683144015,5
"8886",0.002,0.00308236771505223,6
"8887",0.007,0.00313944859866431,7
"8888",0.012,0.00319652948227639,8
"8889",0.012,0.00325361036588846,9
"8890",0.018,0.00331069124950054,10
"8891",0.031,0.00336777213311262,11
"8892",0.037,0.0034248530167247,12
"8893",0.686,0.00348193390033678,13
"8894",3.408,0.00353901478394886,14
"8895",12.36,0.00359609566756093,15
"8896",27.513,0.00365317655117301,16
"8897",43.451,0.00371025743478509,17
"8898",64.83,0.00376733831839717,18
"8899",85.855,0.00382441920200925,19
"8900",109.329,0.00388150008562133,20
"8901",139.439,0.0039385809692334,21
"8902",161.899,0.00399566185284548,22
